"Date","Price","Open","High","Low","Vol.","Change %"
"09/01/2026","14,229.01","14,324.75","14,441.24","14,151.94","7.62B","-0.73%"
"08/31/2026","14,334.06","14,604.26","14,662.89","14,282.17","8.49B","-2.10%"
"08/28/2026","14,641.56","14,543.70","14,641.56","14,511.04","7.76B","0.45%"
"08/27/2026","14,575.51","14,646.48","14,698.96","14,539.39","7.51B","-0.24%"
"08/26/2026","14,610.92","14,522.55","14,730.20","14,515.48","7.27B","0.95%"
"08/25/2026","14,473.42","14,457.80","14,541.70","14,341.93","6.09B","-0.19%"
"08/24/2026","14,501.49","14,637.72","14,650.15","14,477.70","8.26B","-0.09%"
"08/21/2026","14,514.82","14,396.69","14,601.01","14,383.45","8.13B","0.82%"
"08/20/2026","14,396.54","14,469.07","14,562.51","14,268.76","7.05B","-0.43%"
"08/19/2026","14,458.98","14,103.63","14,485.88","14,071.55","7.42B","2.34%"
"08/18/2026","14,127.98","14,115.21","14,209.24","14,043.78","7.61B","-0.03%"
"08/17/2026","14,132.06","14,192.88","14,236.89","14,053.33","6.93B","-0.28%"
"08/14/2026","14,172.26","14,137.44","14,249.99","14,092.84","6.40B","0.28%"
"08/13/2026","14,132.23","14,124.18","14,228.81","14,064.80","8.09B","0.16%"
"08/12/2026","14,110.14","13,704.98","14,130.99","13,701.02","10.56B","2.96%"
"08/11/2026","13,704.52","13,790.46","13,794.56","13,562.45","8.08B","-0.78%"
"08/10/2026","13,811.60","13,825.07","13,910.91","13,779.08","8.99B","0.23%"
"08/07/2026","13,779.39","13,827.14","13,956.18","13,698.81","7.36B","-0.14%"
"08/06/2026","13,798.82","13,728.70","13,805.41","13,667.84","6.91B","0.70%"
"08/05/2026","13,703.13","13,707.73","13,779.68","13,564.77","8.22B","0.11%"
"08/04/2026","13,687.93","13,399.44","13,687.93","13,395.94","7.67B","2.07%"
"08/03/2026","13,410.54","13,544.32","13,588.52","13,376.01","8.02B","-0.35%"
"07/31/2026","13,458.10","13,310.27","13,458.10","13,216.16","6.45B","1.24%"
"07/30/2026","13,292.93","13,484.54","13,489.13","13,223.69","7.91B","-1.55%"
"07/29/2026","13,501.55","13,692.31","13,721.90","13,449.02","6.97B","-1.36%"
"07/28/2026","13,687.86","13,786.47","13,872.92","13,635.39","7.60B","-0.63%"
"07/27/2026","13,774.77","14,028.40","14,085.39","13,773.98","7.48B","-1.21%"
"07/24/2026","13,943.87","14,053.08","14,188.63","13,875.58","9.39B","-0.95%"
"07/23/2026","14,077.67","14,150.52","14,228.02","14,031.89","10.76B","-0.43%"
"07/22/2026","14,138.85","14,010.38","14,143.66","13,929.87","11.61B","1.18%"
"07/21/2026","13,974.14","14,038.17","14,127.80","13,916.08","7.35B","-0.69%"
"07/20/2026","14,070.98","13,936.16","14,193.99","13,910.52","9.01B","0.64%"
"07/17/2026","13,981.05","14,145.75","14,153.74","13,962.64","6.52B","-1.90%"
"07/16/2026","14,251.29","14,029.16","14,254.55","14,029.16","7.27B","1.22%"
"07/14/2026","14,079.97","13,988.40","14,115.60","13,941.98","7.64B","-0.09%"
"07/13/2026","14,092.02","14,265.51","14,265.51","14,033.11","8.34B","-1.60%"
"07/10/2026","14,321.19","14,109.21","14,379.73","14,092.77","9.51B","1.53%"
"07/09/2026","14,105.44","14,253.05","14,275.09","14,053.48","8.74B","-0.60%"
"07/08/2026","14,189.96","14,456.75","14,461.56","14,179.01","7.59B","-2.12%"
"07/07/2026","14,497.37","14,407.91","14,611.36","14,397.44","7.34B","0.50%"
"07/06/2026","14,424.54","14,491.23","14,629.66","14,417.16","6.71B","0.05%"
"07/03/2026","14,417.91","14,511.73","14,511.73","14,372.14","7.58B","-0.26%"
"07/02/2026","14,455.03","14,382.06","14,487.16","14,379.22","6.64B","0.73%"
"07/01/2026","14,350.60","14,110.46","14,395.02","14,031.72","7.35B","1.62%"
"06/30/2026","14,121.83","14,220.08","14,297.12","14,059.15","7.97B","-0.43%"
"06/29/2026","14,183.21","14,321.44","14,365.96","14,113.89","6.39B","-0.64%"
"06/26/2026","14,274.02","14,262.34","14,358.58","14,147.05","6.55B","0.10%"
"06/25/2026","14,259.75","14,450.12","14,583.07","14,212.10","8.85B","-0.50%"
"06/24/2026","14,331.21","14,552.46","14,557.12","14,323.52","7.50B","-1.43%"
"06/23/2026","14,539.61","14,649.12","14,649.12","14,467.28","7.82B","-1.29%"
"06/22/2026","14,729.65","14,791.28","14,871.49","14,697.76","8.21B","-0.03%"
"06/19/2026","14,734.50","14,710.97","14,876.07","14,657.77","8.30B","-0.63%"
"06/18/2026","14,827.35","14,454.31","14,827.35","14,454.31","9.23B","2.82%"
"06/17/2026","14,421.15","14,583.18","14,604.61","14,375.38","9.96B","-0.50%"
"06/16/2026","14,493.09","14,482.86","14,575.31","14,417.90","9.63B","0.32%"
"06/15/2026","14,446.42","14,359.48","14,508.64","14,251.51","8.75B","3.64%"
"06/12/2026","13,938.48","13,912.07","14,125.84","13,801.34","9.53B","1.42%"
"06/11/2026","13,743.50","13,785.85","13,889.62","13,567.35","12.50B","-0.01%"
"06/10/2026","13,744.64","13,725.21","13,835.50","13,600.31","6.85B","0.02%"
"06/09/2026","13,741.89","13,900.27","13,935.10","13,714.16","8.54B","-0.86%"
"06/08/2026","13,860.59","13,590.16","13,922.93","13,580.41","9.28B","1.22%"
"06/05/2026","13,694.19","13,889.37","13,903.42","13,661.82","8.74B","-1.28%"
"06/04/2026","13,872.25","14,061.77","14,188.99","13,680.26","9.83B","-0.67%"
"06/03/2026","13,965.65","14,191.15","14,219.96","13,940.54","9.91B","-1.65%"
"06/02/2026","14,200.20","13,798.53","14,200.20","13,798.53","8.53B","3.62%"
"06/01/2026","13,703.96","13,722.47","13,922.45","13,675.98","8.55B","0.30%"
"05/26/2026","13,662.75","13,902.62","13,920.85","13,662.75","3.43B","-1.64%"
"05/25/2026","13,890.91","13,889.42","13,936.94","13,766.48","8.45B","0.60%"
"05/22/2026","13,808.20","12,966.26","13,865.04","12,966.26","12.35B","4.89%"
"05/21/2026","13,163.88","14,040.06","14,063.63","13,163.88","9.59B","-6.05%"
"05/20/2026","14,012.01","14,009.02","14,089.76","13,856.12","10.13B","-0.12%"
"05/18/2026","14,029.54","14,333.66","14,342.48","14,029.54","10.70B","-2.35%"
"05/15/2026","14,367.60","14,526.47","14,538.43","14,265.67","9.28B","-1.89%"
"05/14/2026","14,644.70","14,611.95","14,762.50","14,604.35","11.24B","0.32%"
"05/13/2026","14,598.47","14,846.74","14,867.83","14,566.23","15.38B","-1.23%"
"05/12/2026","14,779.93","15,141.38","15,141.38","14,775.45","18.96B","-2.34%"
"05/11/2026","15,133.54","15,025.99","15,204.92","14,991.66","16.61B","0.47%"
"05/08/2026","15,062.65","15,033.18","15,167.10","14,933.47","16.96B","0.15%"
"05/07/2026","15,040.25","14,987.21","15,050.42","14,909.80","17.51B","0.82%"
"05/06/2026","14,917.43","14,677.26","15,043.57","14,625.69","16.29B","2.91%"
"05/05/2026","14,495.77","14,401.72","14,578.98","14,357.98","12.70B","0.88%"
"05/04/2026","14,369.61","14,506.83","14,544.57","14,321.03","11.04B","-0.51%"
"04/30/2026","14,442.56","14,284.04","14,469.31","14,250.26","10.71B","0.92%"
"04/29/2026","14,311.19","14,421.65","14,476.20","14,246.25","11.52B","-0.13%"
"04/28/2026","14,329.34","14,608.52","14,608.52","14,329.34","13.26B","-1.81%"
"04/27/2026","14,594.01","14,446.29","14,621.97","14,423.88","14.00B","1.28%"
"04/24/2026","14,409.07","14,340.70","14,409.07","14,212.29","9.50B","0.51%"
"04/22/2026","14,335.49","14,458.89","14,498.47","14,243.57","8.03B","-0.28%"
"04/21/2026","14,375.40","14,535.11","14,616.14","14,375.40","11.99B","-0.76%"
"04/20/2026","14,484.91","14,462.37","14,609.86","14,414.81","12.43B","-0.71%"
"04/17/2026","14,587.93","14,235.63","14,601.12","14,183.21","19.68B","2.72%"
"04/16/2026","14,201.05","14,349.25","14,431.81","14,124.79","13.98B","-0.36%"
"04/15/2026","14,252.38","14,236.21","14,314.11","14,181.58","12.48B","0.35%"
"04/14/2026","14,202.24","14,170.03","14,356.18","14,098.35","11.79B","1.02%"
"04/13/2026","14,058.51","13,924.22","14,099.20","13,842.77","10.00B","-0.11%"
"04/10/2026","14,073.79","13,774.51","14,073.79","13,763.84","10.91B","2.81%"
"04/09/2026","13,689.00","13,530.61","13,712.46","13,529.12","8.30B","1.12%"
"04/08/2026","13,536.84","13,353.43","13,679.94","13,333.68","9.86B","4.76%"
"04/07/2026","12,921.56","13,108.45","13,179.92","12,876.31","7.09B","-1.45%"
"04/06/2026","13,112.31","12,968.98","13,167.87","12,960.20","7.81B","1.36%"
"04/03/2026","12,936.35","13,073.52","13,075.61","12,916.41","5.74B","-0.88%"
"04/02/2026","13,051.69","12,836.84","13,078.32","12,820.87","7.94B","0.88%"
"04/01/2026","12,937.87","12,996.23","13,031.57","12,895.09","6.53B","1.15%"
"03/31/2026","12,790.98","12,650.59","12,848.67","12,634.88","5.18B","1.30%"
"03/30/2026","12,626.35","12,709.29","12,777.83","12,622.55","4.46B","-0.57%"
"03/27/2026","12,698.19","12,802.98","12,825.01","12,601.60","4.89B","-0.23%"
"03/26/2026","12,727.06","12,911.44","12,978.43","12,716.79","6.73B","-1.83%"
"03/25/2026","12,963.87","13,029.32","13,100.40","12,961.54","6.38B","0.26%"
"03/24/2026","12,930.16","13,104.59","13,136.62","12,908.86","5.72B","-1.81%"
"03/23/2026","13,168.16","12,853.05","13,168.16","12,632.41","11.04B","0.92%"
"03/19/2026","13,047.72","13,035.36","13,109.70","12,980.98","2.24B","-0.51%"
"03/18/2026","13,115.13","13,260.12","13,298.53","13,062.27","5.82B","-0.78%"
"03/17/2026","13,217.60","13,008.29","13,253.56","12,994.76","5.81B","2.01%"
"03/16/2026","12,956.72","13,119.91","13,137.73","12,880.01","5.96B","-1.04%"
"03/13/2026","13,092.93","13,253.33","13,259.08","12,944.68","10.36B","-1.45%"
"03/12/2026","13,286.12","13,161.73","13,441.36","13,156.53","8.46B","0.65%"
"03/11/2026","13,200.38","13,188.70","13,269.49","13,032.51","5.99B","0.19%"
"03/10/2026","13,175.74","12,951.57","13,199.51","12,904.13","6.23B","3.73%"
"03/09/2026","12,702.00","12,602.72","12,717.63","12,433.04","6.48B","-0.71%"
"03/06/2026","12,792.81","13,080.87","13,148.73","12,746.23","4.94B","-2.19%"
"03/05/2026","13,078.93","13,062.57","13,202.58","13,047.98","4.05B","1.05%"
"03/04/2026","12,943.19","12,916.67","13,086.15","12,824.76","5.86B","0.08%"
"03/03/2026","12,933.40","13,296.03","13,380.04","12,905.50","6.40B","-3.09%"
"03/02/2026","13,346.43","12,987.42","13,456.56","12,987.42","6.99B","-2.71%"
"02/27/2026","13,717.81","13,889.73","13,967.19","13,552.80","8.94B","-1.16%"
"02/26/2026","13,878.54","13,780.07","13,906.13","13,652.39","8.46B","0.50%"
"02/25/2026","13,809.88","14,049.62","14,068.32","13,752.78","6.63B","-1.71%"
"02/24/2026","14,050.83","14,011.20","14,093.04","13,897.24","6.35B","-0.08%"
"02/23/2026","14,061.71","14,092.16","14,190.09","14,019.99","7.66B","0.92%"
"02/20/2026","13,934.06","13,782.50","13,934.06","13,718.14","9.23B","0.94%"
"02/19/2026","13,804.21","14,340.28","14,343.11","13,728.64","9.03B","-3.20%"
"02/18/2026","14,259.90","14,260.82","14,532.67","14,154.24","13.07B","0.23%"
"02/17/2026","14,227.29","14,314.06","14,409.27","14,227.29","10.06B","-0.78%"
"02/16/2026","14,339.30","14,269.21","14,433.15","14,207.98","9.80B","1.12%"
"02/13/2026","14,180.69","14,158.97","14,320.87","14,109.21","9.41B","0.00%"
"02/12/2026","14,180.48","13,795.00","14,196.85","13,784.80","12.79B","2.85%"
"02/11/2026","13,787.82","13,729.36","13,912.94","13,680.91","11.76B","-0.07%"
"02/10/2026","13,797.04","13,855.79","13,888.20","13,726.15","7.36B","-0.30%"
"02/09/2026","13,838.38","13,641.51","13,858.15","13,620.61","9.20B","2.34%"
"02/06/2026","13,521.96","13,585.64","13,628.01","13,402.61","6.67B","-0.49%"
"02/05/2026","13,589.14","13,867.12","13,977.85","13,589.14","7.72B","-2.17%"
"02/04/2026","13,891.21","13,964.03","13,998.18","13,834.97","8.68B","0.11%"
"02/03/2026","13,875.32","13,725.45","13,926.55","13,660.78","9.16B","1.87%"
"02/02/2026","13,620.95","13,598.39","13,873.91","13,393.80","9.00B","-1.57%"
"01/30/2026","13,838.29","13,827.40","13,876.78","13,649.11","9.81B","0.05%"
"01/29/2026","13,831.09","13,502.29","13,906.51","13,480.55","13.97B","3.16%"
"01/28/2026","13,407.44","13,150.12","13,512.42","13,144.15","12.82B","2.29%"
"01/27/2026","13,106.99","13,225.04","13,262.95","13,053.90","7.48B","-0.53%"
"01/26/2026","13,177.32","12,929.33","13,182.05","12,886.22","9.56B","1.42%"
"01/23/2026","12,992.71","12,924.20","13,030.83","12,904.56","6.74B","1.10%"
"01/22/2026","12,851.49","12,771.45","12,861.95","12,682.56","7.59B","0.97%"
"01/21/2026","12,728.18","12,839.89","12,847.24","12,575.67","7.69B","-0.61%"
"01/20/2026","12,805.81","12,760.83","12,914.06","12,706.34","6.84B","0.45%"
"01/19/2026","12,747.88","12,740.72","12,837.92","12,700.33","7.85B","0.63%"
"01/16/2026","12,668.52","12,486.53","12,668.52","12,449.46","8.71B","1.70%"
"01/15/2026","12,456.69","12,352.46","12,472.88","12,300.40","7.26B","0.70%"
"01/14/2026","12,369.89","12,425.88","12,444.49","12,323.66","6.43B","-0.13%"
