"Date","Price","Open","High","Low","Vol.","Change %"
"09/01/2026","48.2823","48.2557","48.3587","48.1451","","0.15%"
"08/31/2026","48.2085","48.2424","48.4982","48.0918","","-0.07%"
"08/28/2026","48.2419","48.1696","48.4959","47.9086","","0.21%"
"08/27/2026","48.1411","48.1130","48.3339","47.9144","","0.06%"
"08/26/2026","48.1126","48.0899","48.1957","48.0048","","0.05%"
"08/25/2026","48.0903","48.0754","48.2338","47.9305","","0.03%"
"08/24/2026","48.0738","48.0537","48.2750","47.8517","","0.07%"
"08/21/2026","48.0396","48.0500","48.3343","47.8479","","0.07%"
"08/20/2026","48.0062","47.9233","48.1685","47.7995","","0.16%"
"08/19/2026","47.9298","47.9084","47.9972","47.8436","","0.05%"
"08/18/2026","47.9082","47.9051","48.0374","47.7614","","-0.01%"
"08/17/2026","47.9111","47.8765","48.1183","47.6400","","0.06%"
"08/14/2026","47.8825","47.8106","48.0137","47.6608","","0.13%"
"08/13/2026","47.8210","47.7620","48.0408","47.6294","","0.12%"
"08/12/2026","47.7643","47.7317","48.0819","47.6311","","0.07%"
"08/11/2026","47.7297","47.7048","47.8476","47.5509","","0.05%"
"08/10/2026","47.7069","47.7010","47.8391","47.5112","","0.01%"
"08/07/2026","47.7006","47.6248","47.8990","47.4003","","0.18%"
"08/06/2026","47.6126","47.5756","47.7046","47.4548","","0.08%"
"08/05/2026","47.5727","47.5349","47.6804","47.4446","","0.08%"
"08/04/2026","47.5328","47.5318","47.6578","47.4325","","0.00%"
"08/03/2026","47.5311","47.5187","47.8740","47.3680","","0.04%"
"07/31/2026","47.5128","47.4359","47.8170","47.2344","","0.16%"
"07/30/2026","47.4363","47.3857","47.8499","47.2334","","0.09%"
"07/29/2026","47.3917","47.3323","47.5112","47.1283","","0.03%"
"07/28/2026","47.3782","47.3479","47.4760","47.2750","","0.06%"
"07/27/2026","47.3476","47.3440","47.6021","47.2059","","0.03%"
"07/24/2026","47.3340","47.2601","47.4884","47.1112","","0.16%"
"07/23/2026","47.2600","47.2124","47.6895","47.0554","","0.10%"
"07/22/2026","47.2132","47.1866","47.4807","47.0233","","0.06%"
"07/21/2026","47.1865","47.1760","47.3113","47.0457","","0.02%"
"07/20/2026","47.1760","47.1448","47.2886","47.0375","","0.07%"
"07/17/2026","47.1424","47.0783","47.3343","46.9204","","0.11%"
"07/16/2026","47.0888","47.0380","47.2734","46.9050","","0.11%"
"07/15/2026","47.0390","47.0327","47.1812","46.8482","","0.01%"
"07/14/2026","47.0328","46.9718","47.1872","46.8370","","0.05%"
"07/13/2026","47.0100","46.9881","47.1542","46.8482","","0.07%"
"07/10/2026","46.9771","46.9063","47.0853","46.7778","","0.13%"
"07/09/2026","46.9173","46.8500","47.0676","46.7210","","0.15%"
"07/08/2026","46.8460","46.8365","46.9274","46.7657","","0.02%"
"07/07/2026","46.8365","46.8224","46.8829","46.7450","","0.03%"
"07/06/2026","46.8224","46.8032","47.0597","46.6838","","0.04%"
"07/03/2026","46.8032","46.7222","47.1839","46.4845","","0.17%"
"07/02/2026","46.7222","46.6403","46.9320","46.5151","","0.18%"
"07/01/2026","46.6381","46.6488","47.0087","46.5311","","-0.02%"
"06/30/2026","46.6490","46.5998","46.7206","46.5605","","0.04%"
"06/29/2026","46.6295","46.5889","46.9482","46.4655","","0.02%"
"06/26/2026","46.6196","46.5508","46.8096","46.3569","","0.16%"
"06/25/2026","46.5448","46.4935","46.9089","46.3530","","0.11%"
"06/24/2026","46.4944","46.4712","46.8413","46.3552","","0.05%"
"06/23/2026","46.4712","46.4657","46.5718","46.3341","","0.01%"
"06/22/2026","46.4673","46.4475","46.6986","46.2156","","0.07%"
"06/19/2026","46.4339","46.3035","46.5998","46.2483","","-0.02%"
"06/18/2026","46.4410","46.3575","46.7784","46.2553","","0.21%"
"06/17/2026","46.3440","46.2964","46.5662","46.1560","","0.11%"
"06/16/2026","46.2914","46.2866","46.4034","46.1496","","0.01%"
"06/15/2026","46.2853","46.2489","46.4515","46.1150","","0.04%"
"06/12/2026","46.2684","46.1892","46.4208","46.0572","","0.18%"
"06/11/2026","46.1860","46.1323","46.3722","46.0243","","0.13%"
"06/10/2026","46.1277","46.1242","46.2344","46.0056","","0.01%"
"06/09/2026","46.1242","46.1078","46.2279","46.0087","","0.04%"
"06/08/2026","46.1073","46.0737","46.3051","45.8331","","0.13%"
"06/05/2026","46.0465","46.0288","46.3896","45.8070","","0.08%"
"06/04/2026","46.0080","45.9640","46.2093","45.8520","","0.10%"
"06/03/2026","45.9625","45.9380","46.0679","45.8379","","0.07%"
"06/02/2026","45.9321","45.8974","46.0601","45.7939","","0.07%"
"06/01/2026","45.8993","45.8900","46.1173","45.6379","","0.09%"
"05/29/2026","45.8575","45.8841","46.0783","45.6290","","-0.04%"
"05/28/2026","45.8768","45.9021","45.9760","45.7130","","-0.05%"
"05/27/2026","45.9020","45.8852","46.0106","45.7836","","0.04%"
"05/26/2026","45.8853","45.6932","46.0503","45.6015","","0.45%"
"05/25/2026","45.6813","45.7043","46.0044","45.4379","","-0.07%"
"05/22/2026","45.7119","45.5415","46.0859","45.5133","","0.30%"
"05/21/2026","45.5769","45.5951","45.7378","45.4562","","-0.04%"
"05/20/2026","45.5929","45.5848","45.6621","45.4984","","0.03%"
"05/19/2026","45.5810","45.5769","45.6465","45.4800","","0.01%"
"05/18/2026","45.5771","45.5625","45.7282","45.3724","","0.18%"
"05/15/2026","45.4951","45.4301","45.6442","45.3415","","0.14%"
"05/14/2026","45.4301","45.4119","45.5348","45.3085","","0.03%"
"05/13/2026","45.4162","45.3840","45.5390","45.2797","","0.07%"
"05/12/2026","45.3841","45.3581","45.5805","45.2265","","0.06%"
"05/11/2026","45.3571","45.3413","45.5349","45.1697","","0.01%"
"05/08/2026","45.3511","45.2963","45.4959","45.1450","","0.12%"
"05/07/2026","45.2969","45.2130","45.4681","45.1120","","0.18%"
"05/06/2026","45.2134","45.2313","45.3001","45.1510","","-0.01%"
"05/05/2026","45.2172","45.1859","45.3277","45.0769","","0.07%"
"05/04/2026","45.1860","45.1426","45.3606","44.9996","","0.03%"
"05/01/2026","45.1720","45.1856","45.3052","44.9932","","-0.03%"
"04/30/2026","45.1859","45.0972","45.3183","44.9740","","0.16%"
"04/29/2026","45.1131","45.0616","45.2618","44.8916","","0.14%"
"04/28/2026","45.0512","45.0276","45.1491","44.8831","","0.03%"
"04/27/2026","45.0375","45.0151","45.1705","44.8532","","0.09%"
"04/24/2026","44.9975","44.9838","45.1787","44.7771","","0.03%"
"04/23/2026","44.9837","44.9311","45.1175","44.7775","","0.14%"
"04/22/2026","44.9201","44.8884","44.9831","44.7950","","0.07%"
"04/21/2026","44.8877","44.8788","45.0661","44.6766","","0.03%"
"04/20/2026","44.8722","44.8276","45.0700","44.6103","","0.04%"
"04/17/2026","44.8542","44.8055","45.0020","44.6456","","0.11%"
"04/16/2026","44.8068","44.7430","44.9501","44.5413","","0.14%"
"04/15/2026","44.7451","44.7220","44.8730","44.5914","","0.05%"
"04/14/2026","44.7234","44.6708","44.8968","44.5131","","0.13%"
"04/13/2026","44.6665","44.6651","44.8828","44.5062","","0.12%"
"04/10/2026","44.6148","44.5663","44.8339","44.4367","","0.11%"
"04/09/2026","44.5662","44.5157","44.8139","44.2973","","0.10%"
"04/08/2026","44.5214","44.6015","44.7686","44.3241","","-0.18%"
"04/07/2026","44.6019","44.5726","44.7861","44.4092","","0.06%"
"04/06/2026","44.5742","44.5206","44.7251","44.3245","","-0.03%"
"04/03/2026","44.5874","44.4576","44.7944","44.2737","","0.29%"
"04/02/2026","44.4588","44.4744","44.5722","44.3806","","-0.03%"
"04/01/2026","44.4738","44.4468","44.6408","44.2883","","0.05%"
"03/31/2026","44.4537","44.4567","44.6085","44.2667","","0.04%"
"03/30/2026","44.4347","44.4401","44.5846","44.2398","","0.01%"
"03/27/2026","44.4300","44.3470","44.6170","44.2091","","0.23%"
"03/26/2026","44.3292","44.3415","44.4538","44.2352","","-0.01%"
"03/25/2026","44.3316","44.3444","44.5861","44.2164","","-0.02%"
"03/24/2026","44.3425","44.3044","44.5081","44.1667","","0.09%"
"03/23/2026","44.3037","44.2526","44.4756","44.1554","","0.01%"
"03/20/2026","44.2976","44.2951","44.4399","44.1026","","0.01%"
"03/19/2026","44.2925","44.2106","44.5368","44.0684","","0.19%"
"03/18/2026","44.2106","44.1885","44.3331","44.0827","","0.05%"
"03/17/2026","44.1885","44.1677","44.3135","44.0181","","0.05%"
"03/16/2026","44.1659","44.1651","44.3204","44.0503","","-0.08%"
"03/13/2026","44.2020","44.1472","44.3358","43.9818","","0.17%"
